root@comp3134Winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
22:07:37.435112 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4277653852:4277653960, ack 1758399130, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 108
22:07:37.506406 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 35380:35584, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 204
22:07:37.506449 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 35584:35964, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 380
22:07:37.506492 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 35964:36168, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 204
22:07:37.506533 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 36168:36716, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 548
22:07:37.506624 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 36716:36920, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 204
22:07:37.506680 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 36920:37124, ack 37, win 501, options [nop,nop,TS val 3460357554 ecr 2410291699], length 204
22:07:37.506843 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 37124:37328, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.506980 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 37328:37532, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507057 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 37532:37744, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 212
22:07:37.507146 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 37744:37948, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507244 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 37948:38152, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507311 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 38152:38356, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507369 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 38356:38560, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507422 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 38560:38764, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507470 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 38764:38968, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507528 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 38968:39172, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507590 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 39172:39376, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507650 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 39376:39580, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.507706 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 39580:39784, ack 37, win 501, options [nop,nop,TS val 3460357555 ecr 2410291699], length 204
22:07:37.508034 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 39784:39988, ack 37, win 501, options [nop,nop,TS val 3460357556 ecr 2410291699], length 204
22:07:37.508168 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 39988:40192, ack 37, win 501, options [nop,nop,TS val 3460357556 ecr 2410291699], length 204
22:07:37.508388 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 40192:40396, ack 37, win 501, options [nop,nop,TS val 3460357556 ecr 2410291699], length 204
22:07:37.508538 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 40396:40600, ack 37, win 501, options [nop,nop,TS val 3460357556 ecr 2410291699], length 204
22:07:37.508603 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 40600:40804, ack 37, win 501, options [nop,nop,TS val 3460357556 ecr 2410291699], length 204
22:07:37.508718 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 40804:41008, ack 37, win 501, options [nop,nop,TS val 3460357556 ecr 2410291699], length 204
22:07:37.508800 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 41008:41212, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.508860 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 41212:41416, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.508920 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 41416:41620, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.508980 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 41620:41824, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509039 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 41824:42028, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509100 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 42028:42232, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509175 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 42232:42436, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509234 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 42436:42640, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509294 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 42640:42844, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509357 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 42844:43048, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509426 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 43048:43252, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509488 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 43252:43456, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509554 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 43456:43660, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509616 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 43660:43864, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509675 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 43864:44068, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509745 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 44068:44272, ack 37, win 501, options [nop,nop,TS val 3460357557 ecr 2410291699], length 204
22:07:37.509818 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 44272:44476, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.509881 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 44476:44680, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.509942 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 44680:44884, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510006 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 44884:45088, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510063 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 45088:45292, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510119 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 45292:45496, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510186 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 45496:45700, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510247 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 45700:45904, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510306 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 45904:46108, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510369 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 46108:46312, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510428 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 46312:46516, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510494 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 46516:46720, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510560 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 46720:46924, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510626 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 46924:47128, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510691 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 47128:47332, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510759 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 47332:47536, ack 37, win 501, options [nop,nop,TS val 3460357558 ecr 2410291699], length 204
22:07:37.510824 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 47536:47740, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.510889 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 47740:47944, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.510963 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 47944:48148, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511027 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 48148:48352, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511088 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 48352:48556, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511151 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 48556:48760, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511217 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 48760:48964, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511284 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 48964:49168, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511351 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 49168:49372, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511410 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 49372:49576, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511473 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 49576:49780, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511537 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 49780:49984, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511605 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 49984:50188, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511670 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 50188:50392, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511739 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 50392:50596, ack 37, win 501, options [nop,nop,TS val 3460357559 ecr 2410291699], length 204
22:07:37.511794 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 50596:50800, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512040 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 50800:51004, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512102 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 51004:51208, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512169 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 51208:51412, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512288 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 51412:51616, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512347 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 51616:51820, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512522 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 51820:52024, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512586 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 52024:52228, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512638 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 52228:52432, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512691 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 52432:52636, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512749 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 52636:52840, ack 37, win 501, options [nop,nop,TS val 3460357560 ecr 2410291699], length 204
22:07:37.512807 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 52840:53044, ack 37, win 501, options [nop,nop,TS val 3460357561 ecr 2410291699], length 204
22:07:37.512872 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 53044:53248, ack 37, win 501, options [nop,nop,TS val 3460357561 ecr 2410291699], length 204
22:07:37.512929 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 53248:53452, ack 37, win 501, options [nop,nop,TS val 3460357561 ecr 2410291699], length 204
22:07:37.512987 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 53452:53656, ack 37, win 501, options [nop,nop,TS val 3460357561 ecr 2410291699], length 204
22:07:37.513353 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 53656:53860, ack 37, win 501, options [nop,nop,TS val 3460357561 ecr 2410291699], length 204
22:07:37.513432 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 53860:54064, ack 37, win 501, options [nop,nop,TS val 3460357561 ecr 2410291699], length 204
22:07:37.513489 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 54064:54268, ack 37, win 501, options [nop,nop,TS val 3460357561 ecr 2410291699], length 204
22:07:37.513783 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 54268:54472, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.513892 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 54472:54676, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.513959 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 54676:54880, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.514074 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 54880:55084, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.514250 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 55084:55288, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.514416 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 55288:55492, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.514486 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 55492:55696, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.514548 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 55696:55900, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.514618 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 55900:56104, ack 37, win 501, options [nop,nop,TS val 3460357562 ecr 2410291699], length 204
22:07:37.542719 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 32608, win 1980, options [nop,nop,TS val 2410291716 ecr 3460357553], length 0
22:07:37.542720 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 32608, win 2048, options [nop,nop,TS val 2410291716 ecr 3460357553], length 0
22:07:37.542720 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 38764, win 2048, options [nop,nop,TS val 2410291717 ecr 3460357555], length 0
22:07:37.542720 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 44068, win 2048, options [nop,nop,TS val 2410291719 ecr 3460357557], length 0
22:07:37.542720 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 48964, win 1971, options [nop,nop,TS val 2410291721 ecr 3460357559], length 0
22:07:37.542720 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 48964, win 2048, options [nop,nop,TS val 2410291721 ecr 3460357559], length 0
22:07:37.542720 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 54064, win 2048, options [nop,nop,TS val 2410291723 ecr 3460357561], length 0
22:07:37.542720 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 54676, win 2048, options [nop,nop,TS val 2410291724 ecr 3460357562], length 0
22:07:37.542814 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 56104:56308, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291716], length 204
22:07:37.542905 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 56104, win 2048, options [nop,nop,TS val 2410291725 ecr 3460357562], length 0
22:07:37.543149 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 56308:57904, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 1596
22:07:37.543217 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 57904:58116, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 212
22:07:37.543283 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 58116:58320, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543347 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 58320:58524, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543422 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 58524:58728, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543479 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 58728:58932, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543546 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 58932:59136, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543597 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 59136:59340, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543659 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 59340:59544, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543710 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 59544:59748, ack 37, win 501, options [nop,nop,TS val 3460357591 ecr 2410291725], length 204
22:07:37.543768 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 59748:59952, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544007 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 59952:60156, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544094 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 60156:60360, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544174 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 60360:60564, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544233 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 60564:60768, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544289 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 60768:60972, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544346 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 60972:61176, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544398 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 61176:61380, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544450 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 61380:61584, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544504 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 61584:61788, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544553 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 61788:61992, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544607 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 61992:62196, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544656 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 62196:62400, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544706 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 62400:62604, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544754 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 62604:62808, ack 37, win 501, options [nop,nop,TS val 3460357592 ecr 2410291725], length 204
22:07:37.544802 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 62808:63012, ack 37, win 501, options [nop,nop,TS val 3460357593 ecr 2410291725], length 204
win 500, options [nop,nop,TS val 3460358086 ecr 2410292232], length 0
^C
6354 packets captured
6354 packets received by filter
0 packets dropped by kernel
